Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
src/os/unix/ngx_process_cycle.c:315:21,,,,1,,,121,121,422,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:694:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_connection.c:1274:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:898:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:1030:17,,,,2,,,16,16,719,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:1038:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:952:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:1157:17,,,,1,,,7,7,422,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:1190:13,,,,1,,,17,17,422,1270,,,0,0,0,0
src/event/modules/ngx_epoll_module.c:902:17,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/modules/ngx_epoll_module.c:931:17,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/modules/ngx_epoll_module.c:456:5,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http.c:195:34,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http.c:202:33,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http.c:209:33,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http.c:227:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http.c:262:18,,,,2,,,9,9,719,1270,,,0,0,0,0
src/http/ngx_http.c:582:18,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/http/ngx_http.c:595:18,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/http/ngx_http.c:308:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http.c:648:14,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:851:14,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:851:14,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:873:10,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:905:10,,,,1,,,149,149,422,1270,,,0,0,0,0
